object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,spectrum_type,organization,spectrum_identity,librarytype,spectrumid,owner,instrument_mode,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific
intensity,f0c42df463f3b461703814d2e2653d3d,0.71698663,0.7,TRUE,2.344889665,#NAME?,TRUE,TRUE,1,1,1 Particle1Area1.csv,CC BY-NC,intensity,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,0d005b11351d0781bf9a2ec903e40659,17.39343901,raman,"dora mehn, ec joint research centre",cellulose,polymers,41f05be610cb89fba7f1325bc5d6ae72,,reflectance,,,,,,,,,,,,,witec alpha 300,white,,,,,,,,,,,,,,,<3/cm-1,ccd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tissue paper,,,,,,,,,,,,,,,,,0,,,,,,,,20200318-080228,,,,,,,,,,,,,,,dora.mehn@ec.europa.eu,9004-34-6,consumer material,532 1/cm,,"baseline correction, cut at 150 1/cm",50%,3,,organic matter,not plastic,
intensity.1,bd556ed8bcb25b5957a86160e70a4b20,0.858527552,0.7,TRUE,6.94087397,#NAME?,TRUE,TRUE,2,1,1 Particle1Area10.csv,CC BY-NC,intensity.1,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,4dc2df6d78578304afa7d7eee638ceea,73.7983507,raman,rruff,quartz__r110104__raman__532__0__unoriented__raman_data_processed__36248,minerals,./rruffmany_2287.dx,unknown,absorbance,,,,unknown,,,,arbitrary units,"collection of 3087 raman spectra of minerals, provided by the rruff project from university of arizona. (data set from 2012, as part of crystalsleuth software) for many mineral species, there are several entries, which allows to get an impression for the intra- and inter-species spectral variations.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.482117,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/09/2012 03:12:32,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.2,bd556ed8bcb25b5957a86160e70a4b20,0.931262001,0.7,TRUE,14.74978846,#NAME?,TRUE,TRUE,3,1,1 Particle1Area13.csv,CC BY-NC,intensity.2,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,ce99c638e47d8dcab59d22439442f6f7,73.7983507,raman,rruff,quartz__r110104__raman__532__0__unoriented__raman_data_processed__36248,minerals,./rruffmany_2287.dx,unknown,absorbance,,,,unknown,,,,arbitrary units,"collection of 3087 raman spectra of minerals, provided by the rruff project from university of arizona. (data set from 2012, as part of crystalsleuth software) for many mineral species, there are several entries, which allows to get an impression for the intra- and inter-species spectral variations.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.482117,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/09/2012 03:12:32,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.3,b6b6de24d917faac6d5808c7caad4ae0,0.639317682,0.7,FALSE,7.678580096,#NAME?,TRUE,FALSE,4,1,1 Particle1Area14.csv,CC BY-NC,intensity.3,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,58ed1dafae26f8cf2c1af5f61fb5ebae,34.26095937,raman,rruff,painite,minerals,painite__r060957__broad_scan__785__0__unoriented__raman_data_raw__12690,rruff,,r060957,cazr^4+^al_9_o_15_(bo_3_),"ohngaing village, mogok, burma",marcus origlieri,the identification of this mineral has been confirmed by x-ray diffraction.,rruff.info/r060957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"single crystal, reddish-brown to orangish prism section, several prism forms, small transparent areas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.4,d7983323002fecb753de9393f59b8059,0.972079811,0.7,TRUE,9.569809811,#NAME?,TRUE,TRUE,5,1,1 Particle1Area15.csv,CC BY-NC,intensity.4,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,828a83844b40076e03ffde3e4e876be1,70.33140958,raman,"slopp, munno et al. 2020",polyethylene terephthalate,polymers,polyethyleneterephthalate16.whitepellet,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragment,,4,,,,,4,,,,,,,,,,,,,1200,300,100,25,0,,,,,,,,,,,,,,,,,,lab,532,4,,,,,polyterephthalates,plastic,poly(ethylene terephthalate)
intensity.5,c197423e55988d707c817bc86a500462,0.835437685,0.7,TRUE,7.899218874,#NAME?,TRUE,TRUE,6,1,1 Particle1Area21.csv,CC BY-NC,intensity.5,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,c63a9714adf658fb77569fd6ecb0b6cc,52.20940112,raman,rruff,magnesiumstearate__d120003__raman__532__0__unoriented__raman_data_processed__36126,minerals,./rruffmany_1751.dx,unknown,absorbance,,,,unknown,,,,arbitrary units,"collection of 3087 raman spectra of minerals, provided by the rruff project from university of arizona. (data set from 2012, as part of crystalsleuth software) for many mineral species, there are several entries, which allows to get an impression for the intra- and inter-species spectral variations.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.482117,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/09/2012 03:12:08,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.6,796c0cf5cc3fc2c3baf03aa62f5818d3,0.959195614,0.7,TRUE,20.56323335,#NAME?,TRUE,TRUE,7,1,1 Particle1Area23.csv,CC BY-NC,intensity.6,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,8ff8495b50e3f5229abb11f54edde408,73.14717984,raman,"slopp, munno et al. 2020",polyethylene terephthalate,polymers,polyethyleneterephthalate13.clearplasticsheet,,,,,,,,,,,,,,,,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragment,,4,,,,,4,,,,,,,,,,,,,1200,300,100,25,0,,,,,,,,,,,,,,,,,,lab,532,4,,,,,polyterephthalates,plastic,poly(ethylene terephthalate)
intensity.7,8162f56e6ff318a22db0a0d07fd03d51,0.909240794,0.7,TRUE,5.988872418,#NAME?,TRUE,TRUE,8,1,1 Particle1Area30.csv,CC BY-NC,intensity.7,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,fa4d9b93218e86959af9be080db33489,12.48329456,raman,"slopp, munno et al. 2020",cotton,polymers,cotton17.whiteteabag,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiber,,8,,,,,8,,,,,,,,,,,,,600,100,100,100,0,,,,,,,,,,,,,,,,,,store bought,785,8,,,,,organic matter,not plastic,
intensity.8,796c0cf5cc3fc2c3baf03aa62f5818d3,0.961671546,0.7,TRUE,17.40198997,#NAME?,TRUE,TRUE,9,1,1 Particle1Area32.csv,CC BY-NC,intensity.8,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,f49faa389043df803947b989bb08b6e4,73.14717984,raman,"slopp, munno et al. 2020",polyethylene terephthalate,polymers,polyethyleneterephthalate13.clearplasticsheet,,,,,,,,,,,,,,,,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragment,,4,,,,,4,,,,,,,,,,,,,1200,300,100,25,0,,,,,,,,,,,,,,,,,,lab,532,4,,,,,polyterephthalates,plastic,poly(ethylene terephthalate)
intensity.9,2f9942700f6f60ebb06ecfd4e34d4402,0.905022498,0.7,TRUE,13.51451047,#NAME?,TRUE,TRUE,10,1,1 Particle1Area33.csv,CC BY-NC,intensity.9,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,63a336d310ad8922681411b0da32be42,310.1915884,raman,rruff,dolomite__r050357__raman__532__0__unoriented__raman_data_processed__29456,minerals,./rruffmany_0850.dx,unknown,absorbance,,,,unknown,,,,arbitrary units,"collection of 3087 raman spectra of minerals, provided by the rruff project from university of arizona. (data set from 2012, as part of crystalsleuth software) for many mineral species, there are several entries, which allows to get an impression for the intra- and inter-species spectral variations.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.482116,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/09/2012 03:11:20,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
